Design Module List

Total Module Definition Coverage Summary 
SCORE  LINE   COND   TOGGLE FSM    BRANCH ASSERT 
 65.15  50.73  75.23  62.21 --      49.21  88.37 


Total modules in report: 23
-------------------------------------------------------------------------------
SCORE  LINE   COND   TOGGLE FSM    BRANCH ASSERT NAME                               
  0.00 --       0.00   0.00 --       0.00 --     Mux                                
  0.00 --     --       0.00 --     --     --     Pipeline_top                       
  0.00 --     --       0.00 --     --     --     PC_Adder                           
  0.00   0.00 --       0.00 --       0.00 --     PC_Module                          
  2.78 --       8.33   0.00 --       0.00 --     Mux_3_by_1                         
  3.19   5.06   3.03   0.00 --       4.66 --     uvm_custom_install_verdi_recording 
  6.82 --      13.64   0.00 --     --     --     Hazard_unit                        
 28.94  31.82  25.00 --     --      30.00 --     uvm_custom_install_recording       
 33.33 --     --     --     --     --      33.33 uvm_pkg                            
 59.52  78.57 --     100.00 --       0.00 --     tb_top                             
 67.16  85.96  75.00  38.42 --      69.23 --     CSR_File                           
 73.48 --     --      73.48 --     --     --     rv32i_if                           
 76.48  92.31 --      62.12 --      75.00 --     Instruction_Memory                 
 88.23  98.56  93.00  67.82 --      93.55 --     rv32i_pipeline_core                
 89.68  85.71 --     100.00 --      83.33 --     Sign_Extend                        
 90.78  85.71  96.46 100.00 --      80.95 --     Control_Unit_Top                   
 93.04  93.75 --      93.69 --      91.67 --     Data_Memory                        
 93.99  91.67  92.31 100.00 --      92.00 --     ALU_Decoder                        
 95.45  94.12  97.06  95.62 --      95.00 --     ALU                                
 96.25 --     --     100.00 --     --      92.50 rv32i_assertions_bind              
 96.54 100.00  92.31  93.86 --     100.00 --     Register_File                      
 99.26 100.00  97.06 100.00 --     100.00 --     Forwarding_Unit                    
100.00 100.00 --     100.00 --     100.00 --     Main_Decoder                       

